Player,Runs,is_century,is_duck,missed_century,ScoreRate,No. of Matches
Allan A Donald,95.0,0,18,0,31.213749999999997,40
Allan J Lamb,4010.0,4,8,4,69.480593220339,118
Allan R Border,6524.0,3,12,2,67.04702380952384,252
Alok Kapali,1223.0,1,5,0,55.77923076923075,65
Alvin E Greenidge,23.0,0,0,0,69.69,1
Alvin I Kallicharran,826.0,0,0,0,58.48999999999999,28
Alviro N Petersen,377.0,0,0,0,79.47250000000001,12
Amarbir S Hansra,377.0,0,0,0,60.039375,16
Amay R Khurasiya,149.0,0,1,0,69.53181818181818,11
Amin Ali,0.0,0,1,0,0.0,1
Aminul Islam,794.0,0,5,0,48.278717948717954,39
Aminul Islam Jnr,1.0,0,0,0,100.0,1
Amit Bhandari,0.0,0,1,0,0.0,1
Amit Mishra,5.0,0,2,0,11.903333333333334,3
Amjad Ali,96.0,0,0,0,101.505,2
Amjed Javed,10.0,0,0,0,100.0,1
Anderson C Cummins,486.0,0,6,0,76.42510204081631,49
Anderson M E Roberts,231.0,0,5,0,61.396562499999995,32
Andre C Botha,666.0,0,5,0,61.80289473684212,38
Andre D Russell,181.0,0,1,1,97.29375,8
Andre D S Fletcher,256.0,0,2,0,54.21533333333333,15
Andre Nel,127.0,0,5,0,85.7390909090909,22
Andre R Adams,419.0,0,2,0,88.98176470588236,34
Andrew Balbirnie,29.0,0,0,0,28.56,4
Andrew C Hudson,2559.0,2,6,2,51.57238636363638,88
Andrew C Waller,818.0,0,4,0,64.65394736842104,38
Andrew D G Roberts,16.0,0,0,0,66.66,1
Andrew D Poynter,201.0,0,4,0,43.355,12
Andrew Flintoff,3394.0,3,9,1,79.18106557377047,122
Andrew Flower,6786.0,4,14,2,67.04990384615384,208
Andrew G Puttick,0.0,0,1,0,0.0,1
Andrew H Jones,2784.0,0,4,1,49.54643678160919,87
Andrew J Bichel,471.0,0,5,0,80.76833333333335,36
Andrew J Hall,905.0,0,7,0,69.19375,56
Andrew J McKay,10.0,0,5,0,26.041249999999998,8
Andrew J Penn,23.0,0,0,0,75.07,3
Andrew J Pycroft,295.0,0,2,0,42.922105263157896,19
Andrew J Strauss,4205.0,6,9,2,68.72464000000001,125
Andrew M J Hilditch,226.0,0,0,0,47.849999999999994,8
Andrew P Sheahan,75.0,0,0,0,60.086666666666666,3
Andrew R Caddick,249.0,0,6,0,67.8457894736842,38
Andrew R White,731.0,0,4,0,64.06547619047618,42
Andrew Richard Whittall,168.0,0,7,0,70.42057142857142,35
Andrew Symonds,5088.0,6,15,2,83.1021118012422,161
Andries J Burger,199.0,0,0,0,102.55166666666668,6
Andris K Zesers,10.0,0,0,0,142.42000000000002,2
Angelo D Mathews,1065.0,0,4,0,77.57261904761904,42
Anguppulige G D Wickremasinghe,2.0,0,0,0,20.0,1
Angus R C Fraser,141.0,0,3,0,60.89650000000002,20
Anil  Kumble,938.0,0,23,0,60.84941176470587,136
Anil Dalpat,87.0,0,2,0,54.221000000000004,10
Anisur Rehman,2.0,0,1,0,10.0,2
Anshuman D Gaekwad,269.0,0,2,0,41.99928571428571,14
Anthony H Gray,51.0,0,2,0,61.30818181818183,11
Anthony I C Dodemaide,124.0,0,1,0,93.145,16
Anthony J Ireland,30.0,0,4,0,37.98692307692308,13
Anthony M Stuart,1.0,0,0,0,14.28,1
Anthony Martin,7.0,0,1,0,30.605,4
Anthony McGrath,166.0,0,1,0,43.12583333333333,12
Anthony O Suji,506.0,0,2,0,49.88847826086956,46
Anthony W Greig,269.0,0,1,0,76.15526315789472,19
Antony R M Opatha,29.0,0,1,0,42.589999999999996,3
Anura N Ranasinghe,153.0,0,2,0,81.06875,8
Anura P B Tennekoon,137.0,0,1,0,53.095,4
Anwar Hossain (2),42.0,0,0,0,39.62,1
Anwar Hossain Monir,0.0,0,1,0,0.0,1
Arachchige M N Munasinghe,13.0,0,1,0,26.72,4
Arachchige W R Madurasinghe,21.0,0,0,0,38.85333333333333,6
Arjuna Ranatunga,7456.0,4,20,2,68.38435294117649,255
Arnoldus M Blignaut,626.0,0,3,0,79.16878048780488,41
Arshad Ali,54.0,0,1,0,43.88,4
Arshad Ayub,116.0,0,2,0,68.16058823529413,17
Arshad Khan,133.0,0,7,0,57.18034482758622,29
Arshad Laeeq,101.0,0,1,0,40.565,6
Arshad Pervez,11.0,0,0,0,22.119999999999997,2
Arthur D J Pitcher,20.0,0,1,0,47.22,3
Arun Lal,122.0,0,4,0,35.76153846153846,13
Aruna A W Gunawardene,2.0,0,0,0,20.0,1
Arvindah L Kandappah,97.0,0,0,0,59.29,2
Asad Shafiq,630.0,0,2,0,63.25476190476189,21
Asanka P Gurusinha,3902.0,2,12,0,54.883286713286694,144
Asghar Ali,14.0,0,1,0,14.58,2
Asghar Stanikzai,366.0,0,1,0,49.087058823529404,17
Ashantha L F De Mel,466.0,0,6,0,75.20073170731705,41
Ashif A Mulla,482.0,0,2,0,80.43333333333332,24
Ashish Bagai,1961.0,2,2,2,59.48796610169492,59
Ashish Nehra,141.0,0,13,0,55.55608695652174,46
Ashish Patel,25.0,0,0,0,86.2,1
Ashley A Mallett,14.0,0,1,0,26.666666666666668,3
Ashley F Giles,385.0,0,5,0,66.13685714285714,35
Ashley J Woodcock,53.0,0,0,0,79.1,1
Ashley M de Silva,12.0,0,0,0,55.55,2
Ashok B Dinda,18.0,0,1,0,36.92333333333333,3
Ashok K Patel,6.0,0,1,0,37.5,2
Ashok Malhotra,457.0,0,0,0,68.2336842105263,19
Ashok V Mankad,44.0,0,0,0,72.13,1
Ashraf Ali,69.0,0,1,0,48.77222222222222,9
Ashwell G Prince,1018.0,0,4,0,63.1612195121951,41
Asif Iqbal,330.0,0,0,0,69.60499999999999,8
Asif Mahmood,14.0,0,1,0,23.33,2
Asif Masood,10.0,0,1,0,45.23666666666666,3
Asim Butt,23.0,0,0,0,65.8325,4
Asim Saeed,12.0,0,1,0,35.29,2
Ata-Ur-Rehman,34.0,0,4,0,40.371538461538464,13
Athanasios J Traicos,88.0,0,4,0,45.32764705882353,17
Athar Ali Khan,532.0,0,3,0,44.87736842105262,19
Atiq-Uz-Zaman,34.0,0,0,0,133.86333333333334,3
Atse F Buurman,140.0,0,2,0,78.23363636363636,11
Atul C Bedade,158.0,0,0,0,69.44200000000001,10
Atul S Wassan,33.0,0,1,0,67.16833333333332,6
Augustine L Logie,2809.0,1,13,0,70.03654135338346,133
Austin C L Richards,2.0,0,0,0,100.0,1
Austin Codrington,47.0,0,2,0,48.682500000000005,8
Azam Khan,116.0,0,0,0,58.7,5
Azeem Hafeez,45.0,0,3,0,46.201,10
Azeem R Pitcher,36.0,0,0,0,27.474999999999998,4
Azhar Hossain,96.0,0,0,0,32.06428571428572,7
Azhar Mahmood,1521.0,0,10,0,76.5649090909091,111
Azhar Saeed,61.0,0,1,0,24.648571428571426,7
Azmat Rana,42.0,0,0,0,65.475,2
B Ajantha W Mendis,106.0,0,9,0,58.23346153846153,26
B M A Jeevan Mendis,171.0,0,0,0,74.95083333333334,12
Balfour P Patterson,44.0,0,4,0,43.801,20
Balwinder S Sandhu,51.0,0,2,0,42.23714285714285,7
Bandula Warnapura,180.0,0,1,0,34.16583333333333,12
Bapu K Venkatesh Prasad,221.0,0,18,0,57.53571428571427,63
Barney G Rogers,478.0,0,2,0,51.352666666666664,15
Barrington S Browne,8.0,0,2,0,12.12,3
Barry B Seebaran,4.0,0,2,0,11.11,3
Barry G Hadlee,26.0,0,0,0,34.21,2
Barry Wood,314.0,0,1,0,47.304999999999986,12
Basil L D'Oliveira,30.0,0,0,0,68.655,4
Basit Ali,1265.0,1,3,0,71.29255813953486,43
Basnayake S M Warnapura,35.0,0,1,0,34.63,3
Bastiaan Zuiderent,1098.0,0,7,0,47.56285714285714,56
Bazid Khan,131.0,0,1,0,38.54,5
Ben C Hollioake,309.0,0,3,0,63.34294117647058,17
Ben Laughlin,1.0,0,0,0,11.11,1
Benjamin A Stokes,30.0,0,0,0,52.71333333333334,3
Benjamin W Hilfenhaus,29.0,0,1,0,40.892857142857146,7
Berend A Westdijk,1.0,0,2,0,11.11,3
Bernard D Julien,86.0,0,1,0,53.315000000000005,8
Bernard L Cairns,987.0,0,6,0,92.47384615384614,65
Bernard P Loots,16.0,0,2,0,34.32,5
Bevan E Congdon,338.0,1,0,0,58.120000000000005,9
Bhagwat S Chandrasekhar,11.0,0,0,0,84.61,1
Bharat Reddy,11.0,0,0,0,53.025,2
Bharathi Arun,21.0,0,0,0,75.39,3
Bhupinder Singh,6.0,0,0,0,46.15,1
Bishen S Bedi,31.0,0,1,0,41.05,7
Bjorn L Kotze,27.0,0,2,0,24.8525,4
Blair R Hartland,311.0,0,1,0,42.833749999999995,16
Brad A Williams,27.0,0,3,0,33.806666666666665,6
Bradley E Young,31.0,0,0,0,79.24666666666667,3
Bradley J Haddin,2511.0,2,2,0,77.8787356321839,87
Bradley J Hodge,575.0,1,3,2,60.10904761904761,21
Bradley P Kruger,32.0,0,0,0,63.673333333333325,3
Brendan P Nash,104.0,0,0,0,81.35571428571427,7
Brendan R M Taylor,3985.0,6,8,3,59.78750000000001,128
Brendon B McCullum,4181.0,3,15,1,83.49371257485028,167
Brendon J Diamanti,26.0,0,0,0,118.18,1
Brendon P Bracewell,0.0,0,1,0,0.0,1
Brendon P Julian,224.0,0,4,0,81.49058823529411,17
Brenton A Parchment,122.0,0,0,0,50.55285714285714,7
Brett Geeves,10.0,0,1,0,45.45,2
Brett Lee,957.0,0,20,0,74.53479591836735,98
Brett R Dorey,2.0,0,0,0,25.0,1
Brian A Murphy,72.0,0,2,0,54.61764705882353,17
Brian C Broad,1361.0,1,2,2,48.85882352941177,34
Brian C Lara,10405.0,19,16,3,70.71830449826992,289
Brian C Rose,99.0,0,0,0,47.185,2
Brian C Strang,92.0,0,9,0,36.166923076923084,26
Brian F Hastings,151.0,0,1,0,51.74111111111111,9
Brian J McKechnie,54.0,0,2,0,34.6475,8
Brian M McMillan,841.0,1,3,0,62.27307692307692,52
Brian V Vitori,3.0,0,0,0,100.0,1
Brian W Luckhurst,15.0,0,1,0,12.209999999999999,3
Brijal J Patel,360.0,0,4,0,36.56399999999999,25
Brijesh P Patel,243.0,0,0,0,57.57111111111111,9
Brooke G K Walker,47.0,0,0,0,60.06142857142857,7
Bruce A Edgar,1814.0,1,3,1,41.67703125,64
Bruce A Reid,49.0,0,2,0,47.14190476190476,21
Bruce M Laird,594.0,1,0,1,44.428695652173914,23
Bruce M W Patterson,10.0,0,2,0,9.256666666666666,3
Bruce N French,34.0,0,2,0,38.951249999999995,8
Bruce R Blair,174.0,0,2,0,77.10571428571428,14
Bruce R Taylor,22.0,0,0,0,52.38,1
Bruce Yardley,58.0,0,1,0,47.94500000000001,4
Bryan A Young,1668.0,0,5,0,55.961780821917806,73
Bryan G Murgatroyd,90.0,0,2,0,46.145,6
Bryan M Mauricette,20.0,0,1,0,20.73,3
Burton O van Rooi,26.0,0,1,0,68.27666666666666,3
C Justice Chibhabha,1247.0,0,5,0,51.76166666666666,60
C Malinga Bandara,160.0,0,3,0,65.62058823529412,17
Callum J Ferguson,663.0,0,0,0,81.86200000000002,25
Calum S Macleod,78.0,0,2,0,44.46714285714285,7
Calvert K Hooper,49.0,0,1,0,97.47,5
Cameron E Cuffy,62.0,0,8,0,35.447272727272725,22
Cameron L White,2037.0,2,3,0,78.91520547945206,73
Carl E Bulfin,9.0,0,0,0,103.33,2
Carl G Rackeman,34.0,0,9,0,35.562222222222225,18
Carl L Hooper,5761.0,7,7,1,72.30029126213591,206
Carlisle A Best,473.0,1,2,0,65.5986956521739,23
Carlos R Braithwaite,11.0,0,0,0,55.0,1
Carlton S Baugh,418.0,0,1,0,66.67066666666668,30
Cecil A Marshall,10.0,0,0,0,26.045,2
Cephas Zhuwawo,16.0,0,0,0,80.0,1
Chadwick A K Walton,0.0,0,2,0,0.0,2
Chamara I Dunusinghe,1.0,0,0,0,100.0,1
Chamara K Kapugedera,1443.0,0,5,1,66.88124999999998,72
Champaka P H Ramanayake,210.0,0,8,0,59.71142857142858,35
Chandrakant S Pandit,290.0,0,3,0,61.96608695652175,23
Charith P Senanayake,126.0,0,1,0,54.419999999999995,7
Charl K Langeveldt,73.0,0,6,0,64.52285714285713,21
Charl M Willoughby,0.0,0,2,0,0.0,2
Charles A Reid,8.0,0,0,0,45.0,2
Charles K Coventry,819.0,1,5,0,73.17058823529412,34
Charles W J Athey,848.0,2,1,0,44.79266666666667,30
Chetan Sharma,456.0,1,3,0,93.39771428571429,35
Chetandra P S Chauhan,153.0,0,0,0,45.52428571428572,7
Chris R M Douglas,122.0,0,0,0,55.765,2
Christopher B Mpofu,38.0,0,13,0,32.90212121212121,33
Christopher E W Silverwood,17.0,0,1,0,41.5575,4
Christopher H Gayle,8087.0,19,22,4,72.76044843049328,223
Christopher H Lonsdale,4.0,0,0,0,15.38,1
Christopher J Adams,71.0,0,0,0,35.652499999999996,4
Christopher J D Chappell,38.0,0,0,0,27.116666666666664,3
Christopher J Drum,9.0,0,0,0,67.5,2
Christopher J Nevin,732.0,0,4,0,61.63555555555555,36
Christopher J Tavare,720.0,0,1,0,44.40178571428572,28
Christopher L Cairns,4950.0,4,9,0,81.18772020725392,193
Christopher L Smith,109.0,0,0,0,42.325,4
Christopher M Kuggeleijn,142.0,0,1,0,56.58,11
Christopher M Old,338.0,0,4,0,74.33359999999999,25
Christopher M W Read,300.0,0,5,0,62.67875000000001,24
Christopher Pringle,193.0,0,6,0,66.73,41
Christopher R Foggo,106.0,0,0,0,67.0825,4
Christopher R Woakes,39.0,0,1,0,64.5375,4
Christopher S Cowdrey,51.0,0,1,0,92.06,3
Christopher S Martin,8.0,0,2,0,28.092857142857138,7
Christopher T Tremlett,50.0,0,3,0,45.27272727272728,11
Christopher Z Harris,4379.0,1,12,0,66.2012676056338,213
Clairmonte C Lewis,374.0,0,6,0,81.5035,40
Clay J Smith,192.0,0,3,0,56.785,12
Clayton B Lambert,407.0,1,1,0,72.19583333333334,12
Clifton J Richards,154.0,0,3,0,52.338125,16
Clinton J McKay,12.0,0,1,0,52.082499999999996,4
Clive E B Rice,26.0,0,0,0,73.285,2
Clive E Eksteen,6.0,0,1,0,13.04,2
Clive H Lloyd,1977.0,1,1,0,79.8708695652174,69
Clive T Radley,250.0,1,0,0,61.775,4
Colin A Ingram,374.0,2,0,0,87.32272727272728,11
Colin E H Croft,18.0,0,2,0,44.166666666666664,6
Colin E L Stuart,3.0,0,0,0,23.07,1
Colin J O Smith ,432.0,0,3,0,57.443599999999996,25
Colin M Wells,22.0,0,0,0,45.974999999999994,2
Collins O Obuya,1821.0,0,5,1,64.52088607594935,79
Collis L King,280.0,0,2,0,86.24142857142856,14
Conganige R D Fernando,239.0,0,14,0,49.08210526315789,57
Corey D Collymore,104.0,0,12,0,40.452571428571424,35
Cornelius C Henry,6.0,0,0,0,39.39,2
Cornelius J P G Van Zyl,3.0,0,1,0,75.0,2
Courtney A Walsh,321.0,0,19,0,62.70848101265821,79
Courtney K Kruger,3.0,0,1,0,9.375,2
Courtney O Browne,415.0,0,3,0,67.603125,32
Craig B Wishart,1719.0,2,8,0,61.18,82
Craig D Cumming,161.0,0,3,0,43.35076923076924,13
Craig D McMillan,4707.0,3,9,0,68.71426229508195,183
Craig J McDermott,432.0,0,18,0,72.76833333333333,78
Craig Kieswetter,809.0,1,3,0,87.9982142857143,28
Craig M Spearman,936.0,0,6,0,60.364799999999995,50
Craig M Wright,240.0,0,2,0,71.32333333333332,18
Craig Neil Evans,764.0,0,3,1,61.53297872340427,47
Craig R Ervine,581.0,0,2,0,69.71238095238097,21
Craig R Matthews,141.0,0,4,0,62.30181818181818,22
Craig S Serjeant,73.0,0,0,0,44.02666666666667,3
Craig White,568.0,0,10,0,56.85560975609756,41
Curtly E L Ambrose,639.0,0,19,0,61.534374999999976,96
Cuthbert Gordon Greenidge,5134.0,11,3,2,60.189448818897624,127
D P Mahela Jayawardene,9913.0,15,26,3,65.05869696969702,330
Daan L S van Bunge,564.0,0,2,0,57.329999999999984,27
Dale M Benkenstein,305.0,0,3,0,58.30249999999999,20
Dale M Richards,179.0,0,0,0,62.089999999999996,8
Dale W Steyn,141.0,0,4,0,61.21181818181819,22
Damien R Martyn,5346.0,5,11,2,71.41329670329672,182
Damien W Fleming,152.0,0,9,0,56.832580645161286,31
Dammika Ranatunga,49.0,0,1,0,23.8,4
Dandeniyage S De Silva,371.0,0,0,0,55.27448275862068,29
Daniel J Cullen,2.0,0,0,0,66.66,1
Daniel K Morrison,171.0,0,12,0,53.32604651162791,44
Daniel Keulder,132.0,0,1,0,40.34,6
Daniel L Vettori,2105.0,0,26,0,77.95453488372092,172
Daniel R Flynn,167.0,0,3,0,43.416923076923084,13
Daniel W O Morgan,2.0,0,0,0,19.64,2
Danish Kaneria,12.0,0,6,0,30.951,10
Danza P Hyatt,50.0,0,0,0,59.484,5
Daren B Powell,118.0,0,8,0,44.622,25
Darren Ganga,843.0,0,5,0,46.79205882352941,34
Darren Gough,609.0,0,14,0,62.06149425287356,87
Darren J G Sammy,672.0,0,4,0,85.60775510204081,49
Darren J Reekers,481.0,1,3,0,98.33526315789473,19
Darren L Maddy,113.0,0,1,0,41.95499999999999,6
Darren M Bravo,757.0,0,3,0,61.823214285714286,28
Darren S Lehmann,3078.0,4,5,2,75.68831683168317,101
Darrin J Murray,3.0,0,0,0,17.64,1
Darryl Brown,10.0,0,0,0,43.135,2
Daryl R Tuffey,295.0,0,13,0,64.78461538461538,52
Daryll J Cullinan,3860.0,3,10,1,62.27210526315787,133
Dave Langford-Smith,142.0,0,3,0,90.62588235294118,17
Dave Mohammed,0.0,0,1,0,0.0,1
Davenell F Whatmore,2.0,0,0,0,33.33,1
David A Miller,267.0,0,1,0,94.6076923076923,13
David A Murray,45.0,0,1,0,44.72571428571428,7
David A Warner,210.0,0,1,0,58.30899999999999,10
David B Rundle,6.0,0,1,0,30.0,2
David C Boon,5964.0,5,6,3,58.262824858757064,177
David E Bernard,141.0,0,1,0,62.23166666666666,12
David F Watts,974.0,1,4,1,47.6917142857143,35
David H Brain,117.0,0,2,0,58.873333333333335,18
David I Gower,3170.0,7,6,1,66.08819819819819,111
David J Callaghan,493.0,1,2,0,60.737999999999985,25
David J Capel,327.0,0,0,0,65.24526315789474,19
David J Hussey,940.0,1,1,0,86.00156249999998,32
David J Richardson,868.0,0,7,0,69.3387012987013,77
David J Terbrugge,5.0,0,1,0,22.725,2
David J White,37.0,0,0,0,38.45666666666667,3
David L Bairstow,206.0,0,1,0,63.291999999999994,20
David L Hemp,641.0,1,4,0,60.54227272727273,22
David L Houghton,1530.0,1,5,0,60.68716666666669,60
David Lloyd,285.0,1,0,0,42.306250000000006,8
David M Smith,15.0,0,0,0,63.615,2
David O Obuya,1325.0,0,10,1,54.24140845070423,71
David R Gilbert,39.0,0,0,0,52.63999999999999,8
David R O'Sullivan,2.0,0,0,0,41.665,2
David S Steele,8.0,0,0,0,66.66,1
David T Johnston,646.0,0,3,0,95.92136363636361,44
David T Mutendera,20.0,0,1,0,38.38,4
David W Hookes,826.0,0,3,0,59.650555555555556,36
David Williams,147.0,0,5,0,52.13956521739131,23
Davis Joseph,13.0,0,1,0,39.86666666666667,3
Dawlat Zadran,0.0,0,2,0,0.0,2
Dayle R Hadlee,40.0,0,3,0,41.277142857142856,7
Dean A Minors,478.0,0,1,0,65.777,20
Dean M Jones,6068.0,7,6,5,66.05378881987575,161
Dean W Headley,22.0,0,1,0,51.78,6
Debashish S Mohanty,28.0,0,6,0,28.13,11
Deep Dasgupta,51.0,0,1,0,48.2525,4
Deighton C Butler,25.0,0,1,0,60.855000000000004,4
Delano W Hollis,15.0,0,0,0,57.69,1
Delyone C Borden,98.0,0,2,0,47.93363636363636,11
Demuni N T Zoysa,343.0,0,8,0,81.76808510638298,47
Denesh Ramdin,903.0,0,2,0,73.4784126984127,63
Dennis B Close,49.0,0,0,0,87.68333333333334,3
Dennis K Lillee,240.0,0,8,0,69.1714705882353,34
Dennis L Amiss,859.0,4,0,0,64.05499999999999,18
Deon B Kotze,82.0,0,0,0,76.71333333333332,6
Derek A Stirling,21.0,0,0,0,56.188,5
Derek L Underwood,53.0,0,3,0,40.59538461538462,13
Derek N Crookes,296.0,0,3,0,62.22043478260869,23
Derek R Parry,61.0,0,0,0,75.78999999999999,5
Derek R Pringle,425.0,0,3,0,69.152,30
Derek W Randall,1067.0,0,4,0,57.10288888888889,45
Dermot A Reeve,291.0,0,0,0,75.92952380952381,21
Deryck L Murray,295.0,0,0,0,64.14444444444445,18
Desmond L Haynes,8648.0,17,13,3,52.77962025316457,237
Desmond R Chumney,397.0,0,0,0,70.67999999999999,21
Deva L S De Silva,10.0,0,0,0,28.57,1
Devang J Gandhi,49.0,0,0,0,55.663333333333334,3
Devendra Bishoo,10.0,0,5,0,22.077142857142857,7
Devon C Thomas,70.0,0,1,0,49.044285714285714,7
Devon E Malcolm,9.0,0,2,0,76.66600000000001,5
Devon S Smith,1014.0,1,2,1,62.782500000000006,40
Dhiman Ghosh,126.0,0,3,0,49.038333333333334,12
Dihan A Gunawardene,1708.0,1,5,0,60.381311475409845,61
Dilip R Doshi,9.0,0,2,0,38.0,5
Dillip B Vengsarkar,3508.0,1,7,2,60.28066666666663,120
Dinanath Ramnarine,5.0,0,0,0,52.22,3
Dinesh Mongia,1230.0,1,4,0,62.989215686274505,51
Dion D Ebrahim,1443.0,1,8,0,49.24276315789474,76
Dion J Nash,624.0,0,3,0,63.55169811320754,53
Dipak N Chudasama,434.0,1,2,0,58.8936842105263,19
Dipak N Patel,623.0,0,6,0,65.07555555555555,63
Dirk M Wellham,379.0,0,0,1,57.102941176470594,17
Dirk P Nannes,1.0,0,0,0,50.0,1
Dirk P Viljoen,512.0,0,8,0,51.30046511627907,43
Doddanarasiah Ganesh,4.0,0,0,0,50.0,1
Dolar Mahmud,61.0,0,2,0,89.72,4
Dominic G Cork,180.0,0,5,0,53.8942857142857,21
Dominic S Wesonga,61.0,0,0,0,48.9425,4
Dominick I Joyce,29.0,0,1,0,36.943333333333335,3
Don S B P Kuruppu,1022.0,0,3,0,46.41173076923077,52
Donald J Pringle,5.0,0,0,0,45.83,2
Donovan E S Maxwell,166.0,0,1,0,65.44800000000001,10
Donovan L Blake,0.0,0,1,0,0.0,1
Douglas A Marillier,672.0,1,4,0,61.587804878048765,41
Douglas E Bollinger,50.0,0,2,0,70.555,8
Douglas R Brown,319.0,0,3,0,70.84958333333334,24
Douglas R Lockhart,218.0,0,1,0,65.35727272727273,11
Douglas T Hondo,127.0,0,10,0,41.927241379310345,30
